original_name,original_url,POWO_accepted,POWO_name,Names equal?,POWO_rank,POWO_url,POWO_url_full
Aethusa cynapium var. agrestis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2624786,TRUE,Aethusa cynapium subsp. segetalis,FALSE,Subspecies,/taxon/urn:lsid:ipni.org:names:77250096-1,
Aethusa cynapium var. segetalis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2624792,TRUE,Aethusa cynapium subsp. segetalis,FALSE,Subspecies,/taxon/urn:lsid:ipni.org:names:77250096-1,
Agrimonia eupatoria subsp. eupatoria,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3265620,TRUE,Agrimonia eupatoria subsp. eupatoria,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:77231500-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77231500-1
Agrimonia eupatoria var. minor,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2938581,TRUE,Agrimonia eupatoria subsp. eupatoria,FALSE,Subspecies,/taxon/urn:lsid:ipni.org:names:77231500-1,
Agropyron caninum var. gracilius,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:494889,FALSE,Agropyron caninum var. gracilius,TRUE,Variety,/taxon/urn:lsid:ipni.org:names:77261812-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77261812-1
Agropyron pungens,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:476477,TRUE,Elymus pungens,FALSE,Species,/taxon/urn:lsid:ipni.org:names:1153665-2,
Agropyron pungens var. barbatum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:486789,TRUE,Thinopyrum acutum,FALSE,Species,/taxon/urn:lsid:ipni.org:names:60477486-2,
Agropyron repens subsp. caesium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:541656,TRUE,Elymus repens subsp. repens,FALSE,Subspecies,/taxon/urn:lsid:ipni.org:names:77171637-1,
Agropyron repens var. glaucescens,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:544144,TRUE,Elymus repens subsp. repens,FALSE,Subspecies,/taxon/urn:lsid:ipni.org:names:77171637-1,
Agropyron repens var. mucronatum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:495173,TRUE,Elymus repens subsp. repens,FALSE,Subspecies,/taxon/urn:lsid:ipni.org:names:77171637-1,
Agrostis alba,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:451056,FALSE,Agrostis alba,TRUE,Species,/taxon/urn:lsid:ipni.org:names:385388-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:385388-1
